"TOKEN";"REFTEXT"
"YK00000011";"[FR UNITS ONLY] YSM UNLIMITED DECK"
"YD00000012";"[FR UNITS ONLY] YSM BALANCED DIVISION"
"YK00000012";"[FR UNITS ONLY] YSM BALANCED DECK"
"YD00000013";"[LUX UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000013";"[LUX UNITS ONLY] YSM UNLIMITED DECK"
"YD00000014";"[LUX UNITS ONLY] YSM BALANCED DIVISION"
"YK00000014";"[LUX UNITS ONLY] YSM BALANCED DECK"
"YD00000015";"[NL UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000015";"[NL UNITS ONLY] YSM UNLIMITED DECK"
"YD00000016";"[NL UNITS ONLY] YSM BALANCED DIVISION"
"YK00000016";"[NL UNITS ONLY] YSM BALANCED DECK"
"YD00000017";"[POL UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000017";"[POL UNITS ONLY] YSM UNLIMITED DECK"
"YD00000018";"[POL UNITS ONLY] YSM BALANCED DIVISION"
"YK00000018";"[POL UNITS ONLY] YSM BALANCED DECK"
"YD00000019";"[RFA UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000019";"[RFA UNITS ONLY] YSM UNLIMITED DECK"
"YD00000020";"[RFA UNITS ONLY] YSM BALANCED DIVISION"
"YK00000020";"[RFA UNITS ONLY] YSM BALANCED DECK"
"YD00000021";"[SOV UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000021";"[SOV UNITS ONLY] YSM UNLIMITED DECK"
"YD00000022";"[SOV UNITS ONLY] YSM BALANCED DIVISION"
"YK00000022";"[SOV UNITS ONLY] YSM BALANCED DECK"
"YD00000023";"[TCH UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000023";"[TCH UNITS ONLY] YSM UNLIMITED DECK"
"YD00000024";"[TCH UNITS ONLY] YSM BALANCED DIVISION"
"YK00000024";"[TCH UNITS ONLY] YSM BALANCED DECK"
"YD00000025";"[UK UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000025";"[UK UNITS ONLY] YSM UNLIMITED DECK"
"YD00000026";"[UK UNITS ONLY] YSM BALANCED DIVISION"
"YK00000026";"[UK UNITS ONLY] YSM BALANCED DECK"
"YD00000027";"[US UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000027";"[US UNITS ONLY] YSM UNLIMITED DECK"
"YD00000028";"[US UNITS ONLY] YSM BALANCED DIVISION"
"YK00000028";"[US UNITS ONLY] YSM BALANCED DECK"
"YD00000029";"[NATO UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000029";"[NATO UNITS ONLY] YSM UNLIMITED DECK"
"YD00000030";"[NATO UNITS ONLY] YSM BALANCED DIVISION"
"YK00000030";"[NATO UNITS ONLY] YSM BALANCED DECK"
"YD00000031";"[PACT UNITS ONLY] YSM UNLIMITED DIVISION"
"YK00000031";"[PACT UNITS ONLY] YSM UNLIMITED DECK"
"YD00000032";"[PACT UNITS ONLY] YSM BALANCED DIVISION"
"YK00000032";"[PACT UNITS ONLY] YSM BALANCED DECK"
"YD00000033";"[ALL UNITS] YSM UNLIMITED DIVISION"
"YK00000033";"[ALL UNITS] YSM UNLIMITED DECK"
"YD00000034";"[ALL UNITS] YSM BALANCED DIVISION"
"YK00000034";"[ALL UNITS] YSM BALANCED DECK"
"YD00000035";"[ALL UNITS] YSM UNLIMITED DIVISION"
"YK00000035";"[ALL UNITS] YSM UNLIMITED DECK"
"YD00000036";"[ALL UNITS] YSM BALANCED DIVISION"
"YK00000036";"[ALL UNITS] YSM BALANCED DECK"
"YD00000037";"[NATO] ZOMBIE HORDE"
"YK00000037";"[NATO] ZOMBIE HORDE"
"YD00000038";"[PACT] ZOMBIE HORDE"
"YK00000038";"[PACT] ZOMBIE HORDE"
